State,District,Block,Village,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-1,7.2,760,40.37,189,82,20,97,195,50,17,71,22,0.32,1181,304.38,Unsuitable for Drinking
Gujarat,Banaskantha,Dantiwada,Sodapur,7.5,915,40.37,403,78,38,19,160,32,19,158,2.8,2.2,613,252.7,Very Poor yet Drinkable
Himachal Pradesh,UNA,Amb,NANGRAN,8.37,260,29,116,14,70.92,5.8,116,17,18,21,2,0.18,262,82.87,Good
Maharashtra,Akola,Murtijapur,Murtizapur,7.5,1126,40.37,555.3,117,63.7,11.6,570,158.3,42.5,38.6,4,0.73,990,350.08,Unsuitable for Drinking
Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-2,7.3,2650,40.37,695,298,160,186,780,184,78,164,140,0.59,1181,631.67,Unsuitable for Drinking
Gujarat,Bharuch,Jambusar,Kalak1,7,835,40.37,354,64,24,15,250,80,12,60,36,1.5,559,227.05,Very Poor yet Drinkable
Maharashtra,Akola,Patur,Patur,7.24,789.9,40.37,396.6,31.9,17.6,21.3,320,62.1,40.1,32.1,1.7,0.66,326,185.99,Poor
Andhra Pradesh,Visakhapatnam,NAKKALLI,Gurrajupeta,7.21,2750,40.37,708,397,143,120,780,200,68,274,26,0.68,1181,641.86,Unsuitable for Drinking
Gujarat,Bharuch,Jambusar,Tankari,7.9,4492,40.37,879,908,227,13,891,96,158,544,113,0.66,3010,1171.77,Unsuitable for Drinking
Himachal Pradesh,UNA,Amb,SANTOKHGARH,8.38,523,43,102,64,70.92,19,210,21,38,26,2.5,0.18,262,118.96,Poor
Maharashtra,Akola,Akot,Patsul,7.83,1993,40.37,884.8,145.3,124.9,58.1,360,38.1,64.4,304.7,5.5,0.91,703,461.22,Unsuitable for Drinking
Andhra Pradesh,Visakhapatnam,KOTAURATLA,Purshotta Puram,7.69,1400,40.37,549,99,70,55,310,64,36,175,11,1.59,1181,416.08,Unsuitable for Drinking
Gujarat,Bharuch,Jambusar,Sindhav,8,567,40.37,268,35,18,1.4,140,32,15,66,14,0.34,380,154.97,Poor
Maharashtra,Akola,Balapur,Wadegaon,7.56,3403,40.37,628.5,542.4,299.4,204.2,1070,126.3,183.5,309.2,9.4,0.74,701,683.15,Unsuitable for Drinking
Maharashtra,Nagpur,KALAMESHWAR,Metpanjara,7.58,1275,40.37,238,148.9,80.8,61.4,350,62.1,47.4,72.5,1.2,0.61,705,307.25,Unsuitable for Drinking
West Bengal,Bankura,Bankura I,Benajira,8.24,1296,40.37,293,241,28,43,470,114,45,78,31,0.62,759,326.41,Unsuitable for Drinking
Maharashtra,Nagpur,KALAMESHWAR,Sillori,7.89,770.8,40.37,268.5,92.2,39.2,3.5,155,48.1,8.5,99,3,1.3,364,185.53,Poor
West Bengal,Bankura,Bankura II,Bankura,8.4,650,27,171,89,70.92,19,205,58,15,58,8,0.06,368,160.25,Poor
Maharashtra,Nagpur,KALAMESHWAR,Khapri,7.67,843,40.37,286.8,67.4,33,56.1,330,64.1,41.3,29.6,0.7,0.79,895,273.72,Very Poor yet Drinkable
West Bengal,Bankura,Bankura II,Bikna,7.96,468,40.37,92,99,5,10,185,50,15,23,4,0.62,262,114.96,Poor
Maharashtra,Nagpur,KALAMESHWAR,Linga,7.8,1343,40.37,353.9,120.5,81.8,66.8,375,68.1,49.8,57.7,67.1,0.58,1005,369.59,Unsuitable for Drinking
West Bengal,Bankura,Bankura II,Kadahghati,8.13,480,40.37,214,35,5,11,200,54,16,19,6,1.48,277,123.77,Poor
Maharashtra,Nagpur,KALAMESHWAR,Wasboli,7.58,972.3,40.37,390.5,78,45.8,37.6,350,68.1,43.7,45.7,18.5,0.51,1071,324.45,Unsuitable for Drinking
West Bengal,Bankura,Barjora,Barjora,7.9,582,40.37,183,82,33,6,160,38,16,68,6,0.2,361,153.06,Poor
Maharashtra,Nagpur,KALAMESHWAR,Ramgiri,7.94,559.8,40.37,262.4,24.8,18.2,5.8,170,38.1,18.2,36.6,1.1,0.94,962,234.7,Very Poor yet Drinkable
West Bengal,Bankura,Barjora,Chunpara,8.28,1399,40.37,256,223,90,54,220,30,35,209,20,0.06,818,352.16,Unsuitable for Drinking
Maharashtra,Nagpur,KALAMESHWAR,Khairgaon,7.5,1123,40.37,244.1,109.9,76.1,60.4,380,72.1,48.6,41.1,1.6,0.33,1261,364.76,Unsuitable for Drinking
West Bengal,Bankura,Bishnupur,Belsula,8.16,1122,40.37,238,184,82,36,245,52,28,66,147,0.01,740,301.05,Unsuitable for Drinking
Maharashtra,Nagpur,HINGNA,Satgaon,7.82,1264,40.37,433.2,120.5,84.6,42.7,435,78.2,58.3,73.7,0.5,0.97,625,307.94,Unsuitable for Drinking
West Bengal,Bankura,Bishnupur,Bishnupur,7.5,221,40.37,31,43,3,32,60,16,5,22,3,1.28,143,60.25,Good
Maharashtra,Nagpur,KALAMESHWAR,Ashti,7.93,890.1,40.37,274.6,102.8,40.2,45.1,325,54.1,46.2,39.5,1,0.82,670,248.32,Very Poor yet Drinkable
West Bengal,Bankura,Bishnupur,Bishnupur Kalindi Bandh,8.04,669,40.37,61,106,142,6,155,52,6,76,23,0.62,448,181.13,Poor
Maharashtra,Nagpur,NARKHED,Mohad,7.73,730.4,40.37,274.6,49.6,33.5,45.2,275,64.1,27.9,31.7,1,0.43,859,251.41,Very Poor yet Drinkable
West Bengal,Bankura,Bishnupur,Radhanagar,8.37,1230,33,403,131,45,12,205,42,24,106,174,0.21,800,327.13,Unsuitable for Drinking
Maharashtra,Nagpur,Parseoni,Gahuhivra,7.74,1358,40.37,244.1,152.4,158.8,60.9,440,104.2,43.7,72.4,4.9,0.67,425,288.67,Very Poor yet Drinkable
West Bengal,Bankura,Bishnupur,Siromonipur,7.56,632,12,61,99,20,103,120,32,10,49,53,0.62,403,169.14,Poor
Maharashtra,Nagpur,KAMPTEE,Ghumthala,8.04,846,40.37,427.1,39,38,16.4,355,76.2,40.1,29.8,0.8,0.66,294,193.34,Poor
West Bengal,Bankura,Borjora,Bandhakona,7.62,485,40.37,61,124,33,8,105,30,7,68,5,1.47,315,128.02,Poor
Maharashtra,Nagpur,SAVNER,Pipla Wadi,7.79,539,40.37,231.9,39,27.2,4.6,200,44.1,21.9,24.1,2,0.55,496,164.9,Poor
West Bengal,Bankura,Borjora,Dejuri,7.85,388,40.37,128,50,70.92,35,140,38,11,29,6,0.04,246,105.09,Poor
Maharashtra,Nagpur,NAGPUR (RURAL),Sonegaon,7.8,670.2,40.37,238,49.6,54.7,28.5,195,14,38.9,54.6,1,0.92,356,168.23,Poor
West Bengal,Bankura,Chhatna,Babupara,8.18,502,40.37,189,60,22,11,220,58,18,20,6,0.46,312,133.53,Poor
Maharashtra,Nagpur,NARKHED,Jaialkheda_1,8.09,1084,40.37,408.8,74.4,30.3,70.1,330,60.1,43.7,78,0.7,0.43,548,267.01,Very Poor yet Drinkable
West Bengal,Bankura,Chhatna,Chhatna,8.31,1068,27,348,124,82,14,395,106,32,76,18,1.92,666,282.03,Very Poor yet Drinkable
Maharashtra,Nagpur,KATOL,Kondhali_1,7.98,803,40.37,323.4,63.8,31.4,19.6,250,34.1,40.1,58.7,1.4,0.42,793,252,Very Poor yet Drinkable
West Bengal,Bankura,Chhatna,Dhaban,8.19,1629,40.37,238,241,43,214,610,136,66,76,7,2.07,931,410.77,Unsuitable for Drinking
Maharashtra,Nanded,NANDED,Sikarghat (Amdura),7.5,852.5,40.37,183.1,120.5,70.4,39.1,320,48.1,48.6,46.5,3.6,0.58,859,267.47,Very Poor yet Drinkable
West Bengal,Bankura,Chhatna,Kamalpur,8.08,1005,40.37,159,170,64,63,405,80,50,36,3,2.94,565,248.99,Very Poor yet Drinkable
Maharashtra,Nanded,BHOKAR,Bhokar,7.87,1239,40.37,268.5,184.3,72.2,76,305,22,60.8,110.6,60.6,0.42,692,311.71,Unsuitable for Drinking
West Bengal,Bankura,Chhatna,Susunia,8.25,495,40.37,250,21,8,10,200,64,10,19,6,0.83,292,130.12,Poor
Maharashtra,Nanded,Mukhed,Jamb Buzurg,7.53,890.8,40.37,152.6,134.7,62.1,80.2,350,62.1,47.4,37.8,4.1,0.44,452,217.48,Very Poor yet Drinkable
West Bengal,Bankura,Joypur,Prasadpur,8.18,673,40.37,268,71,23,8,285,66,29,33,5,0.53,399,174.35,Poor
Maharashtra,Nanded,BHOKAR,Narwat,7.34,896,40.37,152.6,124.1,67.3,123.7,350,38.1,62,57.7,10.8,0.36,790,272.84,Very Poor yet Drinkable
West Bengal,Bankura,Khatra I,Baharamuri,8.01,958,40.37,256,160,35,37,350,58,50,54,23,0.62,573,246.17,Very Poor yet Drinkable
Maharashtra,Nanded,NANDED,Malegaon (II),7.75,391.6,40.37,140.3,35.5,25.6,7.3,165,30.1,21.9,14.5,2.5,0.33,476,135.94,Poor
West Bengal,Bankura,Onda,Jagadalla,7.82,1132,40.37,220,149,146,21,230,102,6,102,111,0.62,759,307.58,Unsuitable for Drinking
Maharashtra,Nanded,HADGAON,Dhawari Buzurg,7.86,739.3,40.37,323.4,17.7,38,43.8,310,22,62,26.9,0.8,0.59,1082,284.39,Very Poor yet Drinkable
West Bengal,Bankura,Onda,Ratanpur,7.63,145,40.37,43,21,70.92,11,40,12,2,15,1,0.41,89,38.86,Excellent
Maharashtra,Nanded,NANDED,Barad,7.68,1033,40.37,250.2,163.1,58.9,44.9,400,34.1,76.5,53,1.1,0.59,419,234.36,Very Poor yet Drinkable
West Bengal,Bankura,Raipur I,Raipur,8.29,387,40.37,177,28,2,18,150,44,10,25,6,0.36,241,104.51,Poor
Maharashtra,Nanded,HADGAON,Dorli,7.74,1049,40.37,256.3,156,75.9,23.1,295,26.1,55.9,101.7,4,1.47,580,259.8,Very Poor yet Drinkable
West Bengal,Bankura,Ranibandh,Akhuta More,8.12,588,40.37,226,50,30,11,140,32,15,74,2,2.08,352,153.55,Poor
Maharashtra,Nanded,BHOKAR,Nagapur,7.39,916.4,40.37,152.6,148.9,62.2,81.1,375,28.1,74.1,37.5,0.8,0.74,1422,359.08,Unsuitable for Drinking
West Bengal,Bankura,Ranibandh,Jhilimili,8.34,503,18,195,50,9,3,230,52,24,17,2,0.12,286,126.44,Poor
Maharashtra,Nanded,NANDED,Lahan,7.79,953.9,40.37,213.6,148.9,63.6,43.5,310,30.1,57.1,74.9,2.3,0.9,1780,416.46,Unsuitable for Drinking
West Bengal,Bankura,Ranibandh,Khejuria,7.96,907,40.37,214,103,87,57,405,38,75,29,4,0.12,523,230.47,Very Poor yet Drinkable
Maharashtra,Nanded,BILOLI,Narsi,7.88,722.7,40.37,183.1,95.7,47.4,35,240,24,43.7,49.8,13.2,0.71,1223,298.68,Very Poor yet Drinkable
West Bengal,Bankura,Ranibandh,Ledhapakor,8.04,248,40.37,98,28,70.92,7,80,62,18,16,7,0.62,161,69.41,Good
Maharashtra,Nanded,KINWAT,Kamtala,7.59,717.4,40.37,311.2,31.9,30.4,44,310,24,60.8,21.8,1.3,0.86,507,198.8,Poor
West Bengal,Bankura,Ranibandh,Majherigora,7.92,862,40.37,177,184,18,10,275,18,56,75,5,0.48,475,208.79,Very Poor yet Drinkable
Maharashtra,Nanded,KINWAT,Jhalakwadi,7.74,592.4,40.37,140.3,63.8,37.1,67.9,220,28.1,36.5,32.1,1.2,0.63,1876,372.66,Unsuitable for Drinking
West Bengal,Bankura,Saltora,Lakhanpur,7.92,1995,40.37,140,337,162,265,790,150,101,109,3,0.11,1212,516.57,Unsuitable for Drinking
Maharashtra,Nanded,HADGAON,Waranga,7.62,1160,40.37,207.5,202.1,84.3,44,330,34.1,59.5,114.2,3.2,0.83,918,325.7,Unsuitable for Drinking
West Bengal,Bankura,Saltora,Saltora,8.12,647,40.37,177,82,60,3,245,68,18,36,1,0.19,376,164.38,Poor
Maharashtra,Nanded,KINWAT,Unkeshwar,7.68,813.5,40.37,177,102.8,55.2,85,330,32.1,60.8,31.4,9.7,0.8,640,233.46,Very Poor yet Drinkable
West Bengal,Bankura,Saltora,Shyampur,8.24,1186,40.37,226,135,18,180,350,118,13,84,3,0.07,690,305.67,Unsuitable for Drinking
Maharashtra,Nanded,NANDED,Mudkhed2,7.57,750.5,40.37,158.7,120.5,50.7,42.6,220,28.1,36.5,55,26.9,0.54,1745,379.04,Unsuitable for Drinking
West Bengal,Bankura,Simlapal,Dakshin Sole,7.32,601,40.37,250,21,70.92,72,140,32,15,42,42,0.03,376,163.72,Poor
Maharashtra,Nanded,KINWAT,Anjankhed,7.96,1136,40.37,305.1,113.4,48.4,132.8,415,24,86.3,62.3,1,0.87,211,228.46,Very Poor yet Drinkable
West Bengal,Bankura,Simlapal,Simlapal,7.21,187,40.37,24,35,4,21,40,12,2,22,3,1.24,117,49.56,Excellent
Maharashtra,Nanded,KANDHAR,Janapuri-1,7.64,836,40.37,231.9,102.8,70.1,24,270,32.1,46.2,68.7,0.6,0.73,1121,303.66,Unsuitable for Drinking
West Bengal,Bankura,Sonamukhi,Krishna Bati,7.79,518,40.37,104,71,70.92,88,120,30,11,35,43,0.78,342,142.91,Poor
Maharashtra,Nanded,Mukhed,Mukher-1,7.49,1070,40.37,183.1,209.2,86.1,31.7,340,60.1,46.2,93.7,1.7,1.25,567,262.03,Very Poor yet Drinkable
West Bengal,Bankura,Sonamukhi,Nafardanga,8.5,2493,93,555,298,106,249,510,104,61,255,199,0.02,1666,677.62,Unsuitable for Drinking
Maharashtra,Nanded,HADGAON,Hadgaon-1,7.73,1055,40.37,366.1,85.1,63.3,43,345,24,69.3,86.8,1.9,1.35,920,313.18,Unsuitable for Drinking
West Bengal,Bankura,Sonamukhi,Rampur,7.84,494,40.37,92,89,30,20,125,28,13,46,25,0.18,308,129.03,Poor
Maharashtra,Nanded,KINWAT,Gokunda (Kinwat)-1,7.55,1202,40.37,305.1,166.6,64.2,60.9,400,20,85.1,90.6,1.6,1.09,1743,452.46,Unsuitable for Drinking
West Bengal,Bankura,Taldangra,Moyra,7.73,124,40.37,18,25,70.92,18,45,14,2,7,13.57,1.36,79,33.84,Excellent
Maharashtra,Nanded,BHOKAR,Wadgaon (kh),8.24,800.4,40.37,286.8,56.7,58.5,44.3,245,16,49.8,70.8,1.4,0.99,517,215.01,Very Poor yet Drinkable
West Bengal,Barddhaman,Asansol,Asansol B,7.97,913,40.37,293,103,30,33,150,36,15,65,103,0.62,563,239.59,Very Poor yet Drinkable
Maharashtra,Nanded,HADGAON,Mathala,7.91,1207,40.37,457.7,88.6,81.9,12.1,75,8,13.4,235.2,2,1.99,597,296.12,Very Poor yet Drinkable
West Bengal,Barddhaman,Asansol,Dadkha,8.41,406,12,128,57,4,38.19,140,24,19,27,4,0.96,221,98.89,Good
Maharashtra,Nanded,NANDED,Ardhapur-1,7.79,537.4,40.37,158.7,53.2,37.3,29.5,220,22,40.1,22,2.2,1.1,1202,264.45,Very Poor yet Drinkable
West Bengal,Barddhaman,Asansol,Hirapur,8.04,851,40.37,171,191,14,6,200,28,32,88,16,2.01,481,208.71,Very Poor yet Drinkable
Maharashtra,Nanded,DEGLUR,Umri-Gortha,7.6,888.2,40.37,140.3,163.1,57.4,44.8,310,26.1,59.5,52.6,8.7,0.78,248,183.21,Poor
West Bengal,Barddhaman,Asansol,Kanyapur,8.33,746,9,268,92,14,19,240,58,23,69,4,1.02,450,193.72,Poor
Maharashtra,Nanded,NANDED,Dharmabad,7.82,669.8,40.37,189.2,56.7,49.7,67.5,260,30.1,45,33.8,2.9,0.69,326,165.34,Poor
West Bengal,Barddhaman,Ausgram I,Chak-Radhamohanpur,9.42,380,36,177,7,70.92,38.19,145,18,24,27,2,1.44,209,93.48,Good
Maharashtra,Nanded,BILOLI,Biloli-1,8.03,926.8,40.37,384.4,39,74.6,17.9,160,12,31.6,139.8,2,1.58,1182,332.6,Unsuitable for Drinking
West Bengal,Barddhaman,Ausgram II,Chora,8.12,148,40.37,61,14,70.92,2,55,12,6,8,3,1.15,85,38.17,Excellent
Maharashtra,Nanded,NANDED,Kapsi Gumta,7.87,1036,40.37,244.1,195,54.8,5.3,300,26.1,57.1,96.5,4.4,1.3,1232,348.73,Unsuitable for Drinking
West Bengal,Barddhaman,Baraboni,Lalganj,8.47,1026,18,195,181,43,42,375,32,72,74,2,0.29,576,251.7,Very Poor yet Drinkable
Maharashtra,Nanded,NANDED,Khambegaon,7.86,1289,40.37,256.3,212.7,64.7,80,420,24,87.5,90.5,15.7,0.96,550,295.46,Very Poor yet Drinkable
West Bengal,Barddhaman,Barddhaman Sadar,Amirpur,8.11,184,40.37,61,28,70.92,3,65,16,6,9,3,0.62,104,46.62,Excellent
Maharashtra,Nanded,Deglur,Atkali-1,8.02,996.6,40.37,384.4,74.4,68.6,16.7,170,14,32.8,152.5,1.8,1.42,699,274.55,Very Poor yet Drinkable
West Bengal,Barddhaman,Barddhaman Sadar,Amra,8.33,1258,6,354,213,8,3,280,44,41,119,50,0.62,698,307.54,Unsuitable for Drinking
Maharashtra,Nanded,NANDED,Pada Tharoda,7.93,1056,40.37,317.3,102.8,69.3,63.9,315,20,64.4,94.2,2.8,1.04,401,240.19,Very Poor yet Drinkable
West Bengal,Barddhaman,Barddhaman Sadar,Barddhaman,8.34,936,6,281,149,9,7,230,34,35,97,9,0.42,514,229.13,Very Poor yet Drinkable
Maharashtra,Nanded,NANDED,Nanded,7.87,983.9,40.37,280.7,127.6,52,54.1,385,22,80.2,47.7,1.7,0.74,1319,356.75,Unsuitable for Drinking
West Bengal,Barddhaman,Barddhaman Sadar,Bhandardihi,8.2,335,40.37,159,28,4,6,135,22,19,13,6,0.35,197,87.57,Good
Maharashtra,Nanded,NANDED,Dhanegaon,7.73,1698,40.37,268.5,393.5,64.2,51.7,565,40.1,113,127.7,3.9,0.76,468,345.95,Unsuitable for Drinking
West Bengal,Barddhaman,Barddhaman Sadar,Piariganj,7.88,1108,40.37,110,241,29,96,285,58,34,98,59,0.62,682,285.08,Very Poor yet Drinkable
Maharashtra,Nanded,NANDED,Police Wadi,8.13,1305,40.37,408.8,156,61.8,44.9,345,26.1,68,134.2,3,0.88,1326,412.51,Unsuitable for Drinking
West Bengal,Barddhaman,Barddhaman Sadar,Piariganj,7.69,86,40.37,31,14,70.92,38.19,20,4,2,12,13.57,0.08,51,22.81,Excellent
Maharashtra,Nanded,HADGAON,Himayat Nagar-1,7.81,976,40.37,158.7,198.5,61.9,15.4,345,14,75.3,62.4,1.6,0.99,930,291.63,Very Poor yet Drinkable
West Bengal,Barddhaman,Barddhaman Sadar,Raipur,8.72,1501,12,79,493,13,8,495,130,41,150,4,0.38,894,369.12,Unsuitable for Drinking
Maharashtra,Nanded,BHOKAR,Shelgaon,7.89,785.6,40.37,305.1,63.8,34,17.5,320,16,68,29.7,1,1.02,433,195.05,Poor
West Bengal,Barddhaman,Bhatar,Bolgona,8.1,614,40.37,134,99,26,32,240,50,28,31,1,1.04,352,154.27,Poor
Maharashtra,Nanded,MUKHED,Balegaon,8.27,539.1,40.37,201.4,35.5,26.2,11.5,190,12,38.9,28.1,5.6,0.84,639,182.46,Poor
West Bengal,Barddhaman,Durgapur-Faridpur,Banagram,8.07,491,40.37,177,57,8,29,130,22,18,46,10,0.1,298,129.63,Poor
Maharashtra,Nanded,MUKHED,Kolambi,7.85,742.6,40.37,286.8,42.5,32.6,56.8,315,18,65.6,27.3,0.6,0.66,1483,342.23,Unsuitable for Drinking
West Bengal,Barddhaman,Durgapur-Faridpur,Bhiringi,8.17,986,40.37,372,92,19,23,310,64,36,68,30,1.15,562,249.27,Very Poor yet Drinkable
Maharashtra,Nanded,Kandhar,Kandar-1,7.99,825.3,40.37,366.1,60.3,34.6,8.3,330,8,75.3,40,9.9,0.49,562,222.57,Very Poor yet Drinkable
West Bengal,Barddhaman,Durgapur-Faridpur,Deshbandhunagar,7.98,894,40.37,275,110,24,37,225,36,33,100,15,0.36,523,228.25,Very Poor yet Drinkable
Maharashtra,Nanded,BILOLI,Talani,7.74,664.8,40.37,170.9,74.4,55.3,43.3,240,12,51,39.3,0.8,0.61,534,190.96,Poor
West Bengal,Barddhaman,Durgapur-Faridpur,Durgapur Barage,7.98,326,40.37,116,43,70.92,5,100,16,15,18,13,0.01,181,81.45,Good
Maharashtra,Nanded,MUKHED,Somthana,8.09,2776,40.37,598,524.7,67,44.9,440,26.1,91.1,427.4,22.1,1.24,484,526.8,Unsuitable for Drinking
West Bengal,Barddhaman,Durgapur-Faridpur,Gamon Colony,8.02,1306,40.37,220,298,24,5,285,26,53,155,5,0.38,700,309.98,Unsuitable for Drinking
Maharashtra,Nanded,Biloli,Kuncheli,8.02,664,40.37,256.3,31.9,30.4,53,225,14,46.2,50,1.4,1.12,844,238.14,Very Poor yet Drinkable
West Bengal,Barddhaman,Durgapur-Faridpur,Gopalmath,8.19,827,40.37,207,113,28,64,305,42,49,26,51,0.62,500,214.67,Very Poor yet Drinkable
Maharashtra,Nanded,KANDHAR,Ambe Sangwi,7.76,701.2,40.37,183.1,78,46.8,56.3,270,12,58.3,37.3,0.7,0.77,1284,304.72,Unsuitable for Drinking
West Bengal,Barddhaman,Durgapur-Faridpur,Lal Maidan,8.19,1079,40.37,207,213,54,27,200,44,22,164,5,0.48,655,276.41,Very Poor yet Drinkable
Maharashtra,Nanded,Kandhar,Barul,7.94,633.2,40.37,231.9,53.2,39.1,13,225,16,45,34.3,5.5,0.81,902,237.31,Very Poor yet Drinkable
West Bengal,Barddhaman,Durgapur-Faridpur,North Avenue,7.98,512,40.37,232,50,6,38.19,155,20,26,44,1,1.13,289,129.99,Poor
Maharashtra,Nanded,HADGAON,Wanwadi,7.97,670.1,40.37,213.6,63.8,37.5,44.3,120,12,21.9,101.5,1,1.38,1405,319.77,Unsuitable for Drinking
West Bengal,Barddhaman,Durgapur-Faridpur,Piala,7.29,122,40.37,49,14,70.92,38.19,50,12,5,3,6,0.62,69,31.36,Excellent
Maharashtra,Nanded,HADGAON,Gadga,7.99,696.2,40.37,286.8,28.4,28.7,52,275,16,57.1,26.4,1.3,0.8,749,229.29,Very Poor yet Drinkable
West Bengal,Barddhaman,Galsi I,Kasba,7.99,393,40.37,146,46,5,38.19,120,18,18,32,2,0.56,211,96.44,Good
Maharashtra,Nanded,Mukhed,Ramwadi Shivar,8.06,711.8,40.37,231.9,70.9,60.4,15.3,95,12,15.8,118.3,1.7,1.06,258,161.93,Poor
West Bengal,Barddhaman,Galsi I,Paraj More,7.99,442,40.37,122,57,48,12,205,56,16,11,2,0.62,276,117.65,Poor
Maharashtra,NANDURBAR,AKRANI,Dhadgaon-1,7.62,688.4,40.37,353.9,46.1,26.4,35.9,315,66.1,36.5,30.6,0.9,0.44,377,182.37,Poor
West Bengal,Barddhaman,Galsi I,Rekona,8.02,367,40.37,43,89,70.92,50,110,20,15,37,4,0.62,240,99.48,Good
Maharashtra,NANDURBAR,NANDURBAR,Nandurbar,7.64,766.9,40.37,329.5,78,46.8,14.1,305,70.1,31.6,43.9,0.5,0.5,1297,323.51,Unsuitable for Drinking
West Bengal,Barddhaman,Galsi I,Sillaghat,8.04,368,40.37,177,28,2,38.19,160,18,28,16,2,1.44,203,92.61,Good
Maharashtra,NANDURBAR,Akkalkuwa,Akkalkuva,7.61,518.6,40.37,274.6,31.9,22.5,27.8,210,48.1,21.9,37.6,0.7,0.26,1660,335.78,Unsuitable for Drinking
West Bengal,Barddhaman,Galsi II,Bahirghona,8.08,363,40.37,153,28,12,19,100,36,2,36,3,0.62,230,99.15,Good
Maharashtra,Nandurbar,NAWAPUR,Vadkolambi,7.73,533.9,40.37,353.9,17.7,17.7,10.9,250,50.1,30.4,47.3,0.3,0.33,876,228.96,Very Poor yet Drinkable
West Bengal,Barddhaman,Galsi II,Sanko (kulgaria Bazar),8.21,381,40.37,159,50,70.92,38.19,120,22,16,31,3,0.62,218,97.17,Good
Maharashtra,Nandurbar,NANDURBAR,Loy,7.54,998.3,40.37,366.1,88.6,63.4,67.8,325,50.1,48.6,83,0.4,0.64,248,215.05,Very Poor yet Drinkable
West Bengal,Barddhaman,Jamalpur,Berugram (Moralpara),8.76,339,18,67,57,7,4,95,22,10,32,4,0.52,188,82.14,Good
Maharashtra,Nandurbar,NAWAPUR,Nawapur2,7.72,717.6,40.37,372.2,46.1,22.8,13.9,280,52.1,36.5,40,0.7,0.39,2130,434.14,Unsuitable for Drinking
West Bengal,Barddhaman,Jamalpur,Gopalpur,8.24,1104,40.37,415,167,70.92,5,240,14,50,160,9,1.22,658,283.53,Very Poor yet Drinkable
Maharashtra,Nandurbar,Akarni,Khuntamodi,7.84,466.1,40.37,250.2,17.7,18.9,3.1,200,28.1,31.6,13.4,0.3,0.34,845,203.76,Very Poor yet Drinkable
West Bengal,Barddhaman,Jamalpur,Haibatpur,8.21,1415,40.37,451,206,15,23,255,76,16,221,4,0.02,836,360.88,Unsuitable for Drinking
Maharashtra,Nandurbar,NANDURBAR,Sundarde-1,7.71,2850,40.37,372.2,453.8,231.4,204.1,1190,210.4,161.6,92,2,0.33,1168,640.98,Unsuitable for Drinking
West Bengal,Barddhaman,Jamuria I,Damodarpur,8.14,1317,40.37,311,177,41,107,505,84,72,77,4,1.02,752,331.95,Unsuitable for Drinking
Maharashtra,Nandurbar,Shahada,Wadali-1,7.9,990.1,40.37,384.4,109.9,44.8,67.1,330,52.1,48.6,88.5,0.5,0.68,894,308.19,Unsuitable for Drinking
West Bengal,Barddhaman,Jamuria I,Mondalpur,8.25,978,40.37,256,124,35,26,210,36,29,104,18,1.23,530,238.37,Very Poor yet Drinkable
Maharashtra,NANDURBAR,Shahada,Rampur,7.69,764.4,40.37,274.6,46.1,32.1,80.6,295,42.1,46.2,27.1,0.7,0.4,452,200.68,Very Poor yet Drinkable
West Bengal,Barddhaman,Jamuria I,Satgram,8.4,473,9,128,64,18,23,110,22,13,59,3,0.64,287,122.9,Poor
Maharashtra,NANDURBAR,Akkalkuwa,Bajri Pati,7.8,388.1,40.37,189.2,17.7,20.8,11.2,145,38.1,12.2,22.5,0.6,0.29,304,114.17,Poor
West Bengal,Barddhaman,Jamuria II,Pandabeswar,8.08,891,40.37,275,99,78,25,255,52,30,91,8,0.62,553,235.52,Very Poor yet Drinkable
Maharashtra,Nandurbar,NAWAPUR,Shravani,7.73,729,40.37,262.4,56.7,49.4,40.7,290,84.2,19.4,26.2,0.4,0.34,317,174.99,Poor
West Bengal,Barddhaman,Jamuria II,Pandaveswar,7.93,564,40.37,146,74,8,64,140,32,15,65,13,0.61,362,152.63,Poor
Maharashtra,Nandurbar,NANDURBAR,Ghuli,7.61,2027,40.37,268.5,432.5,148.8,42.6,839,239.7,58.6,59.8,0.7,0.41,897,462.07,Unsuitable for Drinking
West Bengal,Barddhaman,Kalna I,Dhatrigram,8.19,911,40.37,281,149,9,7,230,34,35,97,9,0.42,511,225.84,Very Poor yet Drinkable
Maharashtra,Nandurbar,NANDURBAR,Dekhwad,7.72,797.2,40.37,341.7,63.8,62.2,40.9,275,46.1,38.9,96.7,0.3,0.45,605,235.25,Very Poor yet Drinkable
West Bengal,Barddhaman,Kalna I,Purba Sahapur,8.09,980,40.37,171,245,11,16,410,20,87,45,1,0.7,530,234.01,Very Poor yet Drinkable
Maharashtra,Nandurbar,NAWAPUR,Bhardu,7.88,549.4,40.37,329.5,35.5,21.1,2.6,230,42.1,30.4,39.9,4.7,0.39,391,159.39,Poor
West Bengal,Barddhaman,Kanksa,Domra,8.06,559,40.37,232,74,70.92,8,125,28,13,77,3,0.62,344,147.83,Poor
